Price,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,BND,BND,BND,BND,BND,BND,BND,BND
Date,,,,,,,,
2007-04-10,0.0,42.592281341552734,0.0,42.60360547266491,42.45642200044068,42.49604782155214,0.0,35000
2007-04-11,0.0,42.47907257080078,0.0,42.620593999547225,42.47341050436137,42.547004411399925,0.0,87700
2007-04-12,0.0,42.47343826293945,0.0,42.50174429474469,42.43381240974856,42.490420154464964,0.0,78100
2007-04-13,0.0,42.40549087524414,0.0,42.49606236067575,42.37152278917674,42.479080477088075,0.0,18000
2007-04-16,0.0,42.44511032104492,0.0,42.450768068794495,42.42246637337238,42.450768068794495,0.0,52700
2007-04-17,0.0,42.552669525146484,0.0,42.552669525146484,42.51304369099359,42.54701177661893,0.0,25600
2007-04-18,0.0,42.63191223144531,0.0,42.64323636390389,42.59794847185178,42.59794847185178,0.0,30400
2007-04-19,0.0,42.61494445800781,0.0,42.66023236505109,42.597962572589715,42.66023236505109,0.0,59700
2007-04-20,0.0,42.60361862182617,0.0,42.63758238786409,42.57531260419995,42.62626257214876,0.0,32200
2007-04-23,0.0,42.660247802734375,0.0,42.69987365601372,42.58099609617569,42.61495987930253,0.0,43200
2007-04-24,0.0,42.72815704345703,0.0,42.73947685886884,42.53568563032183,42.67720707687438,0.0,77500
2007-04-25,0.0,42.69420623779297,0.0,42.76780018387453,42.67722434835677,42.699868307236216,0.0,264200
2007-04-26,0.0,42.60361862182617,0.0,42.67154615390202,42.59795655452254,42.67154615390202,0.0,68400
2007-04-27,0.0,42.592281341552734,0.0,42.62058735044259,42.575299463775046,42.6149252848865,0.0,44800
2007-04-30,0.0,42.73383712768555,0.0,42.73383712768555,42.67722938325536,42.69421127469501,0.0,35900
2007-05-01,0.0,42.70944595336914,0.127,42.74913857412008,42.64707121702178,42.737799679407466,0.0,54800
2007-05-02,0.0,42.715091705322266,0.0,42.76045590905292,42.69240960345694,42.737773807187594,0.0,28900
2007-05-03,0.0,42.68674850463867,0.0,42.715102220492305,42.561999076754105,42.715102220492305,0.0,33800
2007-05-04,0.0,42.72078323364258,0.0,42.76614746312108,42.69810544507436,42.743465348381825,0.0,19200
2007-05-07,0.0,42.749114990234375,0.0,42.82282858062794,42.720761279838264,42.73210449446423,0.0,135500
2007-05-08,0.0,42.75479507446289,0.0,42.805826571891245,42.71510246773984,42.80015928962343,0.0,34000
2007-05-09,0.0,42.70375442504883,0.0,42.794482845116974,42.6924155356249,42.794482845116974,0.0,50200
2007-05-10,0.0,42.743446350097656,0.0,42.74344635009765,42.703753748488985,42.703753748488985,0.0,42000
2007-05-11,0.0,42.68674850463867,0.0,42.794487433478906,42.675409613999,42.794487433478906,0.0,38200
2007-05-14,0.0,42.658416748046875,0.0,42.69810937094734,42.63006302047307,42.69810937094734,0.0,71200
2007-05-15,0.0,42.64140701293945,0.0,42.698114474865584,42.6300681162574,42.692442863438586,0.0,31600
2007-05-16,0.0,42.658416748046875,0.0,42.6810945387002,42.62439140972402,42.64140191579973,0.0,56600
2007-05-17,0.0,42.596038818359375,0.0,42.63005982796301,42.57902398738645,42.6187209334855,0.0,42700
2007-05-18,0.0,42.49395751953125,0.0,42.57334273333789,42.488285911068004,42.57334273333789,0.0,62200
2007-05-21,0.0,42.5506591796875,0.0,42.556330787958004,42.45993075203753,42.49962335759201,0.0,49400
2007-05-22,0.0,42.482635498046875,0.0,42.55635346633934,42.46562499033995,42.55068185504641,0.0,49800
2007-05-23,0.0,42.4486083984375,0.0,42.505311524723886,42.403244166939906,42.4939726299351,0.0,47200
2007-05-24,0.0,42.442901611328125,0.0,42.4542448228869,42.35217754969616,42.43156272593699,0.0,38600
2007-05-25,0.0,42.4486083984375,0.0,42.45428000891751,42.414587387899914,42.42025467220869,0.0,21100
2007-05-29,0.0,42.39188766479492,0.0,42.41456977112277,42.35219506026355,42.39755494674981,0.0,27900
2007-05-30,0.0,42.43159866333008,0.0,42.47129128506812,42.40891654716959,42.45994806390222,0.0,35200
2007-05-31,0.0,42.39757537841797,0.0,42.43160071739149,42.340872248357456,42.43160071739149,0.0,52200
2007-06-01,0.0,42.2996940612793,0.258,42.35090660456702,42.28831590785409,42.35090660456702,0.0,84900
2007-06-04,0.0,42.345218658447266,0.0,42.35090990617841,42.29401045231715,42.32814925640389,0.0,28500
2007-06-05,0.0,42.276947021484375,0.0,42.33953773191711,42.24849511996016,42.31677707892788,0.0,37400
2007-06-06,0.0,42.31675720214844,0.0,42.32813535272324,42.25416652111543,42.25985342582851,0.0,185900
2007-06-07,0.0,42.02090072631836,0.0,42.16315157802637,41.95831000427471,42.16315157802637,0.0,75500
2007-06-08,0.0,42.015193939208984,0.0,42.02657643418112,41.9013950363868,41.96398573528396,0.0,62700
2007-06-11,0.0,41.96968078613281,0.0,42.0208889946984,41.94122888727397,41.96968078613281,0.0,77100
2007-06-12,0.0,41.76485061645508,0.0,41.88434081005542,41.74208995941433,41.88434081005542,0.0,405400
2007-06-13,0.0,41.8615608215332,0.0,41.87863022114333,41.73068818927316,41.77620948233313,0.0,93800
2007-06-14,0.0,41.804656982421875,0.0,41.90138646414667,41.804656982421875,41.850178270697896,0.0,109800
2007-06-15,0.0,42.015193939208984,0.0,42.01519393920898,41.90708628387288,41.92415568518121,0.0,108600
2007-06-18,0.0,41.96968078613281,0.0,42.07210154441426,41.95261138327761,42.00951083984503,0.0,60300
2007-06-19,0.0,42.168827056884766,0.0,42.22003526059557,42.072097555775564,42.117614512024105,0.0,73400
2007-06-20,0.0,41.96397399902344,0.0,42.128985400771,41.96397399902344,42.123294154876625,0.0,70300
2007-06-21,0.0,41.98677062988281,0.0,42.07212202686165,41.95263180755223,42.06643077608909,0.0,38500
2007-06-22,0.0,42.04931640625,0.0,42.106215829682185,41.92982631469809,41.952586952300514,0.0,55800
2007-06-25,0.0,42.16313552856445,0.0,42.208656825659624,42.08916667664717,42.16313552856445,0.0,85500
2007-06-26,0.0,42.14604949951172,0.0,42.20864017303615,42.12328885994392,42.185879533468345,0.0,163100
2007-06-27,0.0,42.18020248413086,0.0,42.2598625788539,42.163133083997295,42.2598625788539,0.0,212000
2007-06-28,0.0,42.12333679199219,0.0,42.19731004004857,42.07212855055597,42.19731004004857,0.0,74300
2007-06-29,0.0,42.26554489135742,0.0,42.26554489135742,42.18019356758258,42.19726730525647,0.0,389200
2007-07-02,0.0,42.3700065612793,0.233,42.38142051600934,42.22730817570351,42.29580061370204,0.0,74900
2007-07-03,0.0,42.28438186645508,0.0,42.42708023585742,42.27296355821006,42.39282966593098,0.0,21900
2007-07-05,0.0,42.113136291503906,0.0,42.198756172335955,42.0960131862991,42.198756172335955,0.0,43100
2007-07-06,0.0,42.02751159667969,0.0,42.06176215797414,42.00467934075257,42.05605300529047,0.0,55400
2007-07-09,0.0,42.07318115234375,0.0,42.09030425763995,42.038934941751336,42.07889030571184,0.0,34900
2007-07-10,0.0,42.29011535644531,0.0,42.29011535644532,42.175958325399904,42.21591372174696,0.0,110400
2007-07-11,0.0,42.187374114990234,0.0,42.29011282389162,42.13600040572821,42.267284902898865,0.0,37300
2007-07-12,0.0,42.130287170410156,0.0,42.255862497772895,42.073208663830066,42.255862497772895,0.0,28100
2007-07-13,0.0,42.19877624511719,0.0,42.227317670573576,42.08461925291186,42.1816531317674,0.0,86400
2007-07-16,0.0,42.312923431396484,0.0,42.3186325861267,42.18735251099544,42.18735251099544,0.0,66700
2007-07-17,0.0,42.26156234741211,0.0,42.290099417011845,42.175942428993,42.27297630429001,0.0,37500
2007-07-18,0.0,42.330074310302734,0.0,42.38144366686213,42.25015916430226,42.29011455989674,0.0,51500
2007-07-19,0.0,42.312923431396484,0.0,42.312923431396484,42.22730788448875,42.25013579379141,0.0,23500
2007-07-20,0.0,42.43278884887695,0.0,42.47845337634394,42.36429641248551,42.36429641248551,0.0,46300
2007-07-23,0.0,42.421363830566406,0.0,42.427072983713046,42.335743952598456,42.4042407259344,0.0,36700
2007-07-24,0.0,42.43852233886719,0.0,42.4613546156933,42.381443824207665,42.455645457783895,0.0,31400
2007-07-25,0.0,42.47847366333008,0.0,42.50130593796787,42.44993658614117,42.46705970341674,0.0,24900
2007-07-26,0.0,42.64398956298828,0.0,42.64398956298828,42.51841427354274,42.60974334034299,0.0,51500
2007-07-27,0.0,42.609745025634766,0.0,42.63828209403134,42.529834266428736,42.58120360242843,0.0,45700
2007-07-30,0.0,42.569801330566406,0.0,42.644002954536035,42.53555074235576,42.569801330566406,0.0,33600
2007-07-31,0.0,42.6553955078125,0.0,42.6553955078125,42.43278206072562,42.5241111010493,0.0,24300
2007-08-01,0.0,42.63477325439453,0.304,42.69208488640042,42.56026857004659,42.67489183405838,0.0,32600
2007-08-02,0.0,42.70928192138672,0.0,42.720746872415354,42.54307948485041,42.646242181119845,0.0,40600
2007-08-03,0.0,42.85257339477539,0.0,42.86977082540924,42.74368256968648,42.76087562772164,0.0,118800
2007-08-06,0.0,42.732200622558594,0.0,42.8697537773363,42.69208204556433,42.8697537773363,0.0,34100
2007-08-07,0.0,42.75511932373047,0.0,42.81816341645784,42.6404960856423,42.772312372184075,0.0,41700
2007-08-08,0.0,42.61756896972656,0.0,42.68061306009626,42.54306430501514,42.657687538816724,0.0,40900
2007-08-09,0.0,42.714988708496094,0.0,42.8124188706576,42.600365502729026,42.766572211907786,0.0,44900
2007-08-10,0.0,42.63477325439453,0.0,42.80671252300945,42.58892219975092,42.80671252300945,0.0,33900
2007-08-13,0.0,42.674896240234375,0.0,42.709282348468825,42.554540488816116,42.56027296438775,0.0,354100
2007-08-14,0.0,42.778079986572266,0.0,42.78381246496458,42.623338050778486,42.6462635917479,0.0,38900
2007-08-15,0.0,42.783790588378906,0.0,42.82390917141164,42.58892577607876,42.82390917141164,0.0,33600
2007-08-16,0.0,42.778079986572266,0.0,42.95574746333546,42.709303363664006,42.80100552754168,0.0,43100
2007-08-17,0.0,42.90986251831055,0.0,42.92132309228317,42.80669986217322,42.84108595668701,0.0,37300
2007-08-20,0.0,42.81816864013672,0.0,43.024493991943466,42.81243616575409,42.96718236590755,0.0,66500
2007-08-21,0.0,42.967166900634766,0.0,43.076062011725895,42.967166900634766,43.06459706708724,0.0,24900
2007-08-22,0.0,42.967166900634766,0.0,43.013017933998945,42.904122822907816,42.92704833958991,0.0,38900
2007-08-23,0.0,42.967166900634766,0.0,43.024478506042385,42.921315867270586,42.93850891163335,0.0,46600
2007-08-24,0.0,43.00730895996094,0.0,43.02450201371762,42.92133931857991,43.001576484509506,0.0,54300
2007-08-27,0.0,43.16199493408203,0.0,43.16199493408203,42.94420924747076,42.94420924747076,0.0,82200
2007-08-28,0.0,43.282386779785156,0.0,43.29958419827806,43.179224131805704,43.190689077467646,0.0,55400
2007-08-29,0.0,43.184967041015625,0.0,43.28239723970976,43.144848466694704,43.23655056376918,0.0,92200
2007-08-30,0.0,43.259483337402344,0.0,43.282404492915404,43.21936475635841,43.25375086222539,0.0,44500
2007-08-31,0.0,43.28811264038086,0.0,52.10277429186874,43.15056392161729,43.15056392161729,0.0,23600
2007-09-04,0.0,43.261688232421875,0.294,43.336484089129314,43.18113749760285,43.319223844480355,0.0,85500
2007-09-05,0.0,43.42853546142578,0.0,43.43428594864412,43.2846942666392,43.34798035383519,0.0,56800
2007-09-06,0.0,43.34796142578125,0.0,43.42276162380681,43.30768608441478,43.405501390318754,0.0,46500
2007-09-07,0.0,43.618404388427734,0.0,43.65292926165509,43.48031806457358,43.6011441466566,0.0,45700
2007-09-10,0.0,43.74497604370117,0.0,43.808266509857695,43.670180215372625,43.69894581564477,0.0,94800
2007-09-11,0.0,43.64142990112305,0.0,43.739240887577814,43.641429901123054,43.71047527433672,0.0,36400
2007-09-12,0.0,43.57236862182617,0.0,43.629904211194734,43.55510399429993,43.629904211194734,0.0,73900
2007-09-13,0.0,43.46306228637695,0.0,43.51484301700813,43.42278692154641,43.49758277346441,0.0,77800
2007-09-14,0.0,43.46882629394531,0.0,43.63567827636922,43.405535794534956,43.63567827636922,0.0,45800
2007-09-17,0.0,43.5033073425293,0.0,43.503307342529304,43.41124692152037,43.48604711101075,0.0,39300
2007-09-18,0.0,43.62415313720703,0.0,43.68168873158984,43.411266609337744,43.48606683275141,0.0,74700
2007-09-19,0.0,43.555091857910156,0.0,43.61263182092961,43.49180141033505,43.61263182092961,0.0,93600
2007-09-20,0.0,43.2443962097168,0.0,43.486048236596396,43.23288646195152,43.46878800463108,0.0,112700
2007-09-21,0.0,43.42853546142578,0.0,43.42853546142578,43.27893938973597,43.365244984544894,0.0,233800
2007-09-24,0.0,43.399749755859375,0.0,43.41700999063597,43.35371953666626,43.38248952108279,0.0,121500
2007-09-25,0.0,43.42853546142578,0.0,43.56086690240589,43.41702570761931,43.543606661381084,0.0,77500
2007-09-26,0.0,43.44004440307617,0.0,43.48031976534592,43.347983923782316,43.37099904360578,0.0,173600
2007-09-27,0.0,43.53207778930664,0.0,43.54933802101067,43.43426249351292,43.44001736730844,0.0,36300
2007-09-28,0.0,43.54936218261719,0.0,43.65292801998322,43.47456195082312,43.65292801998322,0.0,129200
2007-10-01,0.0,43.52220153808594,0.283,43.58572951969765,43.47599856852147,43.47599856852147,0.0,246000
2007-10-02,0.0,43.67814254760742,0.0,43.67814254760742,43.539538008594654,43.58574099031853,0.0,214300
2007-10-03,0.0,43.65504455566406,0.0,43.71280049052743,43.5741915342464,43.707024015809246,0.0,99300
2007-10-04,0.0,43.70124053955078,0.0,43.70124053955078,43.603062515867265,43.64348902009921,0.0,70200
2007-10-05,0.0,43.516441345214844,0.0,43.56264433206423,43.45868981473278,43.54531931353554,0.0,80500
2007-10-08,0.0,43.643470764160156,0.0,43.66079577213278,43.53373983879136,43.62614575618754,0.0,43600
2007-10-09,0.0,43.49911880493164,0.0,43.57419535821967,43.47024083496569,43.54532179441332,0.0,67200
2007-10-10,0.0,43.54531478881836,0.0,43.5799648222753,43.48178679004137,43.504888281065625,0.0,69900
2007-10-11,0.0,43.58576965332031,0.0,43.59154613137426,43.43561206705008,43.4587135731041,0.0,125100
2007-10-12,0.0,43.516441345214844,0.0,43.59152230038493,43.481791308157476,43.499116326686156,0.0,61200
2007-10-15,0.0,43.48178482055664,0.0,43.60306433832154,43.452906856544615,43.4644598046129,0.0,394500
2007-10-16,0.0,43.574195861816406,0.0,43.57997233710827,43.527997277960395,43.56264731739232,0.0,107100
2007-10-17,0.0,43.793663024902344,0.0,43.793663024902344,43.57420099953163,43.62040399499495,0.0,90200
2007-10-18,0.0,43.85136413574219,0.0,43.86291266824678,43.80516119341366,43.82826266457793,0.0,92000
2007-10-19,0.0,44.0593147277832,0.0,44.0593147277832,43.91493370078411,43.92648224423396,0.0,117300
2007-10-22,0.0,44.03042221069336,0.0,44.04774722322296,43.966894227312935,44.00732072526795,0.0,90200
2007-10-23,0.0,44.01886749267578,0.0,44.065070457041664,43.9726645283099,43.98421747247997,0.0,84800
2007-10-24,0.0,44.19214630126953,0.0,44.244125766304194,44.1112932722464,44.140171242394494,0.0,207300
2007-10-25,0.0,44.15747833251953,0.0,44.209457776448694,44.122828307338644,44.18057981802607,0.0,88600
2007-10-26,0.0,44.09394836425781,0.0,44.16325281765804,44.01887184435912,44.07662335244716,0.0,154300
2007-10-29,0.0,44.099727630615234,0.0,44.12282911654545,44.03619964584662,44.059301131776834,0.0,54500
2007-10-30,0.0,44.11126708984375,0.0,44.11126708984375,44.05351558998578,44.082393542993266,0.0,86800
2007-10-31,0.0,43.9495849609375,0.0,44.09396599195645,43.891833429761796,44.04776300455213,0.0,116100
