Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
2000-08-01,24.545703887939453,51.625,0.0,53.375,49.625,49.875,0.0,10556800
2000-08-02,24.45655632019043,51.4375,0.0,52.375,50.6875,51.9375,0.0,6692900
2000-08-03,23.89196014404297,50.25,0.0,51.9375,50.0,51.0,0.0,5914200
2000-08-04,24.932035446166992,52.4375,0.0,52.75,50.625,51.875,0.0,8546500
2000-08-07,25.466920852661133,53.5625,0.0,54.125,52.5625,53.0625,0.0,6924000
2000-08-08,25.43721580505371,53.5,0.0,53.875,52.625,53.8125,0.0,3458500
2000-08-09,24.872600555419922,52.3125,0.0,53.625,52.125,53.4375,0.0,6305600
2000-08-10,24.66457748413086,51.875,0.0,53.1875,51.75,52.3125,0.0,4979200
2000-08-11,24.724018096923828,52.0,0.0,52.4375,51.3125,51.5625,0.0,4492200
2000-08-14,25.08060646057129,52.75,0.0,53.0,51.5625,52.75,0.0,4970100
2000-08-15,24.634859085083008,51.8125,0.0,53.375,51.625,53.0,0.0,7236200
2000-08-16,23.951387405395508,50.375,0.0,51.8125,50.0625,51.25,0.0,5305600
2000-08-17,24.099979400634766,50.6875,0.0,51.125,50.0625,50.0625,0.0,4514400
2000-08-18,24.129680633544922,50.75,0.0,51.25,50.25,50.8125,0.0,3694100
2000-08-21,24.21883773803711,50.9375,0.0,51.625,50.625,51.0,0.0,3502300
2000-08-22,25.08060646057129,52.75,0.0,53.5,51.0,51.4375,0.0,7456800
2000-08-23,25.823532104492188,54.3125,0.0,54.375,52.75,52.9375,0.0,6868200
2000-08-24,25.318342208862305,53.25,0.0,54.875,53.0,53.375,0.0,4508200
2000-08-25,24.753740310668945,52.0625,0.0,53.6875,51.875,53.125,0.0,4746600
2000-08-28,25.0508975982666,52.6875,0.0,53.3125,52.0,52.0,0.0,5261600
2000-08-29,24.66457748413086,51.875,0.0,53.1875,51.625,53.0625,0.0,7020300
2000-08-30,25.318342208862305,53.25,0.0,53.875,52.3125,52.5,0.0,8367100
2000-08-31,26.566423416137695,55.875,0.0,56.5625,53.5,53.6875,0.0,8450600
2000-09-01,26.774450302124023,56.3125,0.0,56.8125,55.125,56.6875,0.0,5478500
2000-09-05,27.160764694213867,57.125,0.0,57.5625,56.1875,56.4375,0.0,4851200
2000-09-06,26.625864028930664,56.0,0.0,58.25,55.75,57.25,0.0,6821900
2000-09-07,27.220184326171875,57.25,0.0,57.3125,55.9375,56.5625,0.0,3495800
2000-09-08,27.487638473510742,57.8125,0.0,58.3125,56.75,56.875,0.0,4496500
2000-09-11,27.339054107666016,57.5,0.0,58.375,56.5,57.5,0.0,5219500
2000-09-12,25.11032485961914,52.8125,0.0,57.9375,52.0,57.75,0.0,7314600
2000-09-13,24.099979400634766,50.6875,0.0,51.1875,49.625,50.375,0.0,42585300
2000-09-14,23.773082733154297,50.0,0.0,52.0,49.9375,52.0,0.0,20361300
2000-09-15,23.3570613861084,49.125,0.0,50.3125,48.4375,50.3125,0.0,14822300
