Price,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,VTI,VTI,VTI,VTI,VTI,VTI,VTI,VTI
Date,,,,,,,,
2001-06-15,0.0,36.23030090332031,0.0,36.45159449234095,35.911376840408245,36.07409264166324,0.0,1067400
2001-06-18,0.0,35.99924087524414,0.0,36.39301277380886,35.99924087524414,36.32792497062927,0.0,282600
2001-06-19,0.0,36.100128173828125,0.0,36.555732919061555,35.95042993292285,36.54597036813127,0.0,1777600
2001-06-20,0.0,36.48088455200195,0.0,36.49715712633964,36.04155235619323,36.04155235619323,0.0,476000
2001-06-21,0.0,36.77376937866211,0.0,36.920212599863525,36.366979894384876,36.44833779124032,0.0,240400
2001-06-22,0.0,36.539451599121094,0.0,36.741220040485146,36.366973286382795,36.741220040485146,0.0,180600
2001-06-25,0.0,36.3045654296875,0.14,36.66343465159942,36.14144282981359,36.60471041608268,0.0,30400
2001-06-26,0.0,36.209964752197266,0.0,36.3926638107466,35.906556526968885,35.91960663751199,0.0,146600
2001-06-27,0.0,36.21321487426758,0.0,36.43506169558197,36.040305327620935,36.278462914455794,0.0,114000
2001-06-28,0.0,36.65689468383789,0.0,36.9896635457073,36.47419824901172,36.47419824901172,0.0,357400
2001-06-29,0.0,36.86570358276367,0.0,37.067976480781304,36.51009754825948,36.55577167215812,0.0,215000
2001-07-02,0.0,36.96357727050781,0.0,37.17237397178893,36.735204167257635,36.735204167257635,0.0,290000
2001-07-03,0.0,36.943992614746094,0.0,36.97987977310982,36.810233424615106,36.91463175193166,0.0,56800
2001-07-05,0.0,36.52313995361328,0.0,36.84612441245515,36.52313995361328,36.82981116093892,0.0,627600
2001-07-06,0.0,35.56071090698242,0.0,36.23930121707536,35.56071090698242,36.21320101536742,0.0,777000
2001-07-09,0.0,35.78908157348633,0.0,35.95220410114862,35.65858554259828,35.70099650373167,0.0,850000
2001-07-10,0.0,35.316043853759766,0.0,35.98810818741275,35.316043853759766,35.97179742040426,0.0,218000
2001-07-11,0.0,35.3617057800293,0.0,35.40411674647882,34.99304971736099,35.38127968930561,0.0,47200
2001-07-12,0.0,36.20014953613281,0.0,36.242560495504165,35.70425816782508,35.707518826125245,0.0,64800
2001-07-13,0.0,36.37306213378906,0.0,36.4546234012362,35.984832193296306,36.017456202464686,0.0,430000
2001-07-16,0.0,35.95219802856445,0.0,36.39263077010219,35.91305022153128,36.39263077010219,0.0,46400
2001-07-17,0.0,36.37633514404297,0.0,36.37633514404297,35.80214296860126,35.88696740667916,0.0,183400
2001-07-18,0.0,35.99787902832031,0.0,36.24256282537758,35.85759604083102,36.06639268186237,0.0,54400
2001-07-19,0.0,36.20014953613281,0.0,36.617742791350295,36.050077115604786,36.457883417817506,0.0,18600
2001-07-20,0.0,36.203407287597656,0.0,36.307805585842125,36.05007174257102,36.21319423914374,0.0,11600
2001-07-23,0.0,35.577030181884766,0.0,36.340442543268395,35.577030181884766,36.294768427068654,0.0,52000
2001-07-24,0.0,35.08440399169922,0.0,35.573771720353854,34.8429832758311,35.4530601178933,0.0,102400
2001-07-25,0.0,35.52809524536133,0.0,35.541145349280924,35.058301460467064,35.13659959493183,0.0,519200
2001-07-26,0.0,35.981597900390625,0.0,35.981597900390625,35.36173127289223,35.45634271768895,0.0,65000
2001-07-27,0.0,36.0435676574707,0.0,36.1610136293306,35.8021444383422,36.00768048946655,0.0,208000
2001-07-30,0.0,36.01420593261719,0.0,36.14796765380548,35.85760963699307,36.14796765380548,0.0,25600
2001-07-31,0.0,36.161014556884766,0.0,36.487259736888646,36.02073151897416,36.05009239042898,0.0,119200
2001-08-01,0.0,36.31760787963867,0.0,36.51988075689697,36.196896285122016,36.27845756786367,0.0,237400
2001-08-02,0.0,36.431793212890625,0.0,36.66995325390974,36.29477085512485,36.65364000172451,0.0,62200
2001-08-03,0.0,36.3045654296875,0.0,36.408963794044666,36.06314467880906,36.408963794044666,0.0,17600
2001-08-06,0.0,35.88694381713867,0.0,36.278436754068714,35.828219627694025,36.278436754068714,0.0,30400
2001-08-07,0.0,35.95219802856445,0.0,35.99787212947103,35.82170201971812,35.8543260219297,0.0,29200
2001-08-08,0.0,35.29971694946289,0.0,36.03050772676538,35.267092939006204,35.83802183368177,0.0,54400
2001-08-09,0.0,35.40412139892578,0.0,35.40412139892578,35.107239616660856,35.26383588955472,0.0,56200
2001-08-10,0.0,35.54766082763672,0.0,35.64227219209606,34.95715807568772,35.43021240893218,0.0,114200
2001-08-13,0.0,35.609657287597656,0.0,35.71079248381566,35.469371778785806,35.63901815525339,0.0,34200
2001-08-14,0.0,35.53135299682617,0.0,35.85433493035757,35.46610248713894,35.74014964972045,0.0,38600
2001-08-15,0.0,35.22467041015625,0.0,35.6879376780882,35.22467041015625,35.6879376780882,0.0,49800
2001-08-16,0.0,35.33236312866211,0.0,35.33236312866211,34.9408673179662,35.19860137551787,0.0,42800
2001-08-17,0.0,34.79405975341797,0.0,35.16924232477727,34.69292202364385,35.1431421048966,0.0,84600
2001-08-20,0.0,35.03871154785156,0.0,35.05502230351275,34.81033856712978,34.82665181184265,0.0,71800
2001-08-21,0.0,34.54936599731445,0.0,35.33235494837165,34.54936599731445,35.10398182274279,0.0,69800
2001-08-22,0.0,34.869075775146484,0.0,34.957163346984004,34.490632749294804,34.77120373750244,0.0,326800
2001-08-23,0.0,34.82340621948242,0.0,34.93106771513523,34.745108081304444,34.875606637636366,0.0,31000
2001-08-24,0.0,35.45958709716797,0.0,35.45958709716797,34.84624460579091,34.90823198244362,0.0,52400
2001-08-27,0.0,35.33236312866211,0.0,35.462859243173575,35.234488553724674,35.364987157289974,0.0,75600
2001-08-28,0.0,34.74183654785156,0.0,35.2834045547513,34.74183654785156,35.2834045547513,0.0,61600
2001-08-29,0.0,34.415592193603516,0.0,34.891909703431644,34.3536073220374,34.891909703431644,0.0,90000
2001-08-30,0.0,33.900142669677734,0.0,34.46454551747489,33.73702005647914,34.33731007830426,0.0,111800
2001-08-31,0.0,34.043663024902344,0.0,34.29487305233609,33.874016731184156,33.978415024791886,0.0,69800
2001-09-04,0.0,33.86424255371094,0.0,34.60481783942244,33.86424255371094,34.040412718271135,0.0,71600
2001-09-05,0.0,33.8153076171875,0.0,33.968643223792014,33.44664903389083,33.88055564639877,0.0,45800
2001-09-06,0.0,33.130184173583984,0.0,33.737000135495066,33.130184173583984,33.737000135495066,0.0,90600
2001-09-07,0.0,32.46138381958008,0.0,33.172598157601314,32.46138381958008,32.96380151607694,0.0,133200
2001-09-10,0.0,32.706058502197266,0.0,32.820243744793615,32.21669104331152,32.396126773856935,0.0,75200
2001-09-17,0.0,31.15314483642578,0.0,31.67839966230369,30.748601597227246,30.748601597227246,0.0,410000
2001-09-18,0.0,30.755126953125,0.0,31.319532116660547,30.715979130972954,31.140096301621064,0.0,318400
2001-09-19,0.0,30.34078025817871,0.0,31.009583399275265,29.42729340532265,30.830147681697724,0.0,257200
2001-09-20,0.0,29.362062454223633,0.0,29.981928714956705,29.362062454223633,29.851430161794028,0.0,218200
2001-09-21,0.0,28.889009475708008,0.0,29.362063954916007,28.318080454362416,28.38332848975214,0.0,223200
2001-09-24,0.0,29.9219913482666,0.1575,30.105340097749036,29.55201905079258,29.79430168374285,0.0,578000
2001-09-25,0.0,30.20355987548828,0.0,30.33124952228124,29.794297546552126,30.105335917367995,0.0,190000
2001-09-26,0.0,29.971094131469727,0.0,30.40000018071523,29.88269208444229,30.40000018071523,0.0,244200
2001-09-27,0.0,30.269023895263672,0.0,30.413084953701095,29.7157032350554,29.990726167049434,0.0,406200
2001-09-28,0.0,31.087549209594727,0.0,31.087549209594727,30.563694202768033,30.563694202768033,0.0,365800
2001-10-01,0.0,30.805978775024414,0.0,30.97295842849907,30.55059959790898,30.841994043380474,0.0,922000
2001-10-02,0.0,31.185789108276367,0.0,31.215254796612054,30.776526784020774,30.792898276166593,0.0,983400
2001-10-03,0.0,31.735830307006836,0.0,32.0206777169442,30.89111246893471,30.89111246893471,0.0,722600
2001-10-04,0.0,31.840604782104492,0.0,32.40702486601027,31.840604782104492,32.14837081018706,0.0,579000
2001-10-05,0.0,31.856979370117188,0.0,31.93883183252968,31.408426976838726,31.840607878459124,0.0,338000
2001-10-08,0.0,31.644153594970703,0.0,31.85369564015422,31.532832978376717,31.57867014463947,0.0,726800
2001-10-09,0.0,31.434616088867188,0.0,31.644158164308056,31.401875607943037,31.627786674876692,0.0,466400
2001-10-10,0.0,32.18111038208008,0.0,32.20075417125269,31.4804535916193,31.4804535916193,0.0,665600
2001-10-11,0.0,32.77044677734375,0.0,32.82610834363583,32.56090469818127,32.65912864063683,0.0,540200
2001-10-12,0.0,32.5216064453125,0.0,32.71150467283094,32.00102371786542,32.560894011048866,0.0,353400
2001-10-15,0.0,32.567447662353516,0.0,32.593641041400375,32.20074784951174,32.34808373319677,0.0,458600
2001-10-16,0.0,32.75080490112305,0.0,32.94070320206252,32.51179712402575,32.544537607443885,0.0,1283000
2001-10-17,0.0,32.086151123046875,0.0,33.07165503553448,32.086151123046875,32.99962450069024,0.0,516200
2001-10-18,0.0,31.91919708251953,0.0,32.17785125700546,31.78496029456141,32.08945166473448,0.0,476600
2001-10-19,0.0,32.007598876953125,0.0,32.11564226696594,31.595061621641197,31.794781900120952,0.0,536800
2001-10-22,0.0,32.48561096191406,0.0,32.55436674176295,31.958480818466615,31.98794651071357,0.0,449800
2001-10-23,0.0,32.36445236206055,0.0,32.7966331197796,32.33171188758479,32.642750142011636,0.0,397600
2001-10-24,0.0,32.34809494018555,0.0,32.541265557219326,32.22040529551668,32.413575912550456,0.0,445000
2001-10-25,0.0,32.80645751953125,0.0,32.83920049444745,31.886436877378827,32.0861570342639,0.0,773600
2001-10-26,0.0,32.98326873779297,0.0,33.1175079799768,32.734439041646716,32.82283860513096,0.0,308000
2001-10-29,0.0,32.21713638305664,0.0,32.871956218086495,32.21713638305664,32.871956218086495,0.0,339800
2001-10-30,0.0,31.68670654296875,0.0,32.014116203463054,31.486986450232227,32.014116203463054,0.0,436800
2001-10-31,0.0,31.726003646850586,0.0,32.13199101659828,31.726003646850582,31.873337027616223,0.0,227400
2001-11-01,0.0,32.39392852783203,0.0,32.43321610771826,31.473905231123126,31.90608609544258,0.0,343200
2001-11-02,0.0,32.446311950683594,0.0,32.574001577847554,32.1516426195596,32.1516426195596,0.0,308000
2001-11-05,0.0,32.911216735839844,0.0,33.02253731514807,32.80972054424438,33.00289353559731,0.0,241400
2001-11-06,0.0,33.38924026489258,0.0,33.39906215562238,32.74096799941167,32.87847946550417,0.0,388000
2001-11-07,0.0,33.330326080322266,0.0,33.63808966243368,33.2910359962927,33.39580705576577,0.0,154800
2001-11-08,0.0,33.34995651245117,0.0,33.88363349253338,33.323763133591925,33.575870033720534,0.0,128200
2001-11-09,0.0,33.421993255615234,0.0,33.480927120012595,33.17643590361599,33.34014080494882,0.0,207400
2001-11-12,0.0,33.36307144165039,0.0,33.4383743246166,32.76063588822339,33.06185491390662,0.0,368400
2001-11-13,0.0,33.95240783691406,0.0,34.011341722660916,33.683931801387146,33.78870287627718,0.0,153400
2001-11-14,0.0,34.16195297241211,0.0,34.32893274627863,33.86401121694171,34.32893274627863,0.0,207800
2001-11-15,0.0,34.05388641357422,0.0,34.247056953544366,33.926196819845956,34.11609256312261,0.0,203800
2001-11-16,0.0,34.04080581665039,0.0,34.158673573955106,33.759233118415686,34.13248018390091,0.0,163800
2001-11-19,0.0,34.38784408569336,0.0,34.38784408569336,34.07680583645293,34.214317325721034,0.0,273800
2001-11-20,0.0,34.142311096191406,0.0,34.45007726574801,34.139036297085106,34.42715866788357,0.0,84000
2001-11-21,0.0,33.93274688720703,0.0,34.18157900100788,33.80833207927571,34.18157900100788,0.0,128600
2001-11-23,0.0,34.34857940673828,0.0,34.407510800322214,33.985154158665786,33.985154158665786,0.0,90800
2001-11-26,0.0,34.55812072753906,0.0,34.62687651630318,34.26999837697745,34.48609013989866,0.0,139000
2001-11-27,0.0,34.4631462097168,0.0,34.82002158876308,34.18157366389229,34.54172383940755,0.0,241400
2001-11-28,0.0,33.736305236816406,0.0,34.34528764921882,33.736305236816406,34.34528764921882,0.0,207600
2001-11-29,0.0,34.25360870361328,0.0,34.25360870361328,33.75921928516387,33.991679906278165,0.0,170400
2001-11-30,0.0,34.142311096191406,0.0,34.30929087945508,34.142311096191406,34.175051593434915,0.0,331800
2001-12-03,0.0,33.90657043457031,0.0,34.017891106031946,33.76905886800546,33.94258572551912,0.0,263800
2001-12-04,0.0,34.3518180847168,0.0,34.3518180847168,33.93600895002191,34.03750513688203,0.0,184600
2001-12-05,0.0,35.196563720703125,0.0,35.301334787209974,34.63669309987535,34.68907738415914,0.0,201000
2001-12-06,0.0,35.13106918334961,0.0,35.32751454499685,35.03939234983849,35.262031092488904,0.0,275800
2001-12-07,0.0,35.05577850341797,0.0,35.15072767582379,34.76765868565983,35.15072767582379,0.0,173400
2001-12-10,0.0,34.3944091796875,0.0,34.90516779740169,34.36166619306343,34.83641202178163,0.0,346800
2001-12-11,0.0,34.30601119995117,0.0,34.70217690550042,34.22415871951688,34.541746743272256,0.0,254400
2001-12-12,0.0,34.286338806152344,0.0,34.44022174068717,33.95237956568583,34.42712505498874,0.0,315400
2001-12-13,0.0,33.77560043334961,0.0,34.14229785698805,33.723213659721914,34.044076403344405,0.0,111000
2001-12-14,0.0,33.929473876953125,0.0,34.00150442668373,33.65772566379449,33.73957810704502,0.0,192400
2001-12-17,0.0,34.17831802368164,0.0,34.306007680223274,33.92948580926802,33.952404401520646,0.0,81600
2001-12-18,0.0,34.531925201416016,0.0,34.59413388652826,34.41405742853991,34.50900660657563,0.0,324600
2001-12-19,0.0,34.6890869140625,0.0,34.79713280862584,34.29947073048371,34.37804842746616,0.0,112200
2001-12-20,0.0,34.378028869628906,0.0,34.72835725438282,34.378028869628906,34.67269818809915,0.0,131800
2001-12-21,0.0,34.56137466430664,0.0,34.65304900061435,34.410766469238496,34.4271379569813,0.0,338200
2001-12-24,0.0,34.63796615600586,0.1965,34.67740056537829,34.62810755366275,34.63796615600586,0.0,123200
2001-12-26,0.0,34.808834075927734,0.0,35.03887886082738,34.55578757053818,34.55578757053818,0.0,94600
