Price,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM
Date,,,,,,,,
2000-08-01,17.822378158569336,40.0,0.0,40.78125,39.875,40.46875,0.0,12354600
2000-08-02,18.462862014770508,41.4375,0.0,41.5625,40.625,40.71875,0.0,16508800
2000-08-03,18.142620086669922,40.71875,0.0,41.78125,40.5,41.375,0.0,9905800
2000-08-04,18.201797485351562,40.8515625,0.0,41.0625,39.96875,40.625,0.0,8025400
2000-08-07,18.020782470703125,40.4453125,0.0,40.71875,40.34375,40.4375,0.0,7346600
2000-08-08,17.999897003173828,40.3984375,0.0,40.59375,40.1875,40.4375,0.0,6273800
2000-08-09,18.0590763092041,40.53125,0.0,41.125,40.53125,40.8125,0.0,9477200
2000-08-10,18.143644332885742,40.5,0.22,41.03125,40.5,40.5,0.0,7043400
2000-08-11,18.227636337280273,40.6875,0.0,41.21875,40.5625,41.21875,0.0,6114400
2000-08-14,18.493627548217773,41.28125,0.0,41.5,40.78125,41.09375,0.0,6543400
2000-08-15,18.21363639831543,40.65625,0.0,41.6875,40.625,41.5,0.0,7165800
2000-08-16,18.53913116455078,41.3828125,0.0,41.3828125,40.8125,40.84375,0.0,7294600
2000-08-17,18.77362060546875,41.90625,0.0,42.0,41.375,41.375,0.0,8351400
2000-08-18,18.574119567871094,41.4609375,0.0,41.84375,41.125,41.59375,0.0,8297800
2000-08-21,18.703632354736328,41.75,0.0,41.875,41.375,41.5,0.0,5152000
2000-08-22,18.619619369506836,41.5625,0.0,42.0,41.5,41.90625,0.0,6467200
2000-08-23,18.9276180267334,42.25,0.0,42.375,41.875,41.875,0.0,9290600
2000-08-24,18.577619552612305,41.46875,0.0,41.6875,41.25,41.6875,0.0,11205000
2000-08-25,18.577619552612305,41.46875,0.0,41.84375,41.21875,41.5,0.0,6401800
2000-08-28,18.549633026123047,41.40625,0.0,41.90625,41.28125,41.34375,0.0,5888000
2000-08-29,18.48312759399414,41.2578125,0.0,41.5,41.125,41.40625,0.0,6416800
2000-08-30,18.22414207458496,40.6796875,0.0,41.1875,40.59375,41.15625,0.0,7704000
2000-08-31,18.287128448486328,40.8203125,0.0,41.125,40.6875,40.875,0.0,7730800
2000-09-01,18.479631423950195,41.25,0.0,41.4375,40.875,41.0,0.0,8084800
2000-09-05,18.67562484741211,41.6875,0.0,41.75,41.28125,41.5625,0.0,11928200
2000-09-06,18.591617584228516,41.5,0.0,42.03125,41.5,41.78125,0.0,11893200
2000-09-07,18.759624481201172,41.875,0.0,42.09375,41.75,41.75,0.0,7297400
2000-09-08,18.703632354736328,41.75,0.0,41.75,41.125,41.53125,0.0,9289800
2000-09-11,19.03611183166504,42.4921875,0.0,42.75,41.71875,41.75,0.0,14298600
2000-09-12,19.207612991333008,42.875,0.0,43.21875,42.375,42.875,0.0,15139400
2000-09-13,19.221622467041016,42.90625,0.0,42.90625,42.625,42.90625,0.0,10436800
2000-09-14,19.099124908447266,42.6328125,0.0,42.84375,42.40625,42.78125,0.0,8708800
2000-09-15,19.71160888671875,44.0,0.0,44.9375,43.3125,43.4375,0.0,24841200
2000-09-18,20.0791015625,44.8203125,0.0,45.375,44.5,44.5625,0.0,17314600
2000-09-19,19.71160888671875,44.0,0.0,44.625,43.9375,44.53125,0.0,12280600
2000-09-20,19.375612258911133,43.25,0.0,44.71875,43.21875,44.09375,0.0,17358800
2000-09-21,19.333614349365234,43.15625,0.0,43.4375,42.78125,43.125,0.0,15926600
2000-09-22,19.375612258911133,43.25,0.0,43.375,42.4375,43.15625,0.0,18019600
2000-09-25,19.232120513916016,42.9296875,0.0,43.03125,42.15625,42.9375,0.0,16944000
2000-09-26,19.403614044189453,43.3125,0.0,43.90625,43.0,43.0,0.0,11535000
2000-09-27,19.991596221923828,44.625,0.0,44.75,43.34375,43.375,0.0,11929400
2000-09-28,19.96709632873535,44.5703125,0.0,44.9375,44.28125,44.65625,0.0,17244400
2000-09-29,19.96010971069336,44.5546875,0.0,44.96875,44.5,44.8125,0.0,12960400
2000-10-02,20.481592178344727,45.71875,0.0,45.84375,44.6875,44.6875,0.0,12705000
2000-10-03,20.34159278869629,45.40625,0.0,45.8125,45.25,45.46875,0.0,10045000
2000-10-04,19.991596221923828,44.625,0.0,45.15625,44.375,45.09375,0.0,13748600
2000-10-05,19.97760772705078,44.59375,0.0,44.875,43.96875,44.3125,0.0,11162600
2000-10-06,20.033592224121094,44.71875,0.0,45.65625,44.53125,44.96875,0.0,10405600
2000-10-09,20.411590576171875,45.5625,0.0,45.78125,44.625,44.71875,0.0,10663800
2000-10-10,20.901578903198242,46.65625,0.0,46.90625,45.75,45.84375,0.0,14807800
2000-10-11,20.99958610534668,46.875,0.0,47.71875,46.6875,46.96875,0.0,20725800
2000-10-12,21.08357048034668,47.0625,0.0,47.4375,46.46875,46.5,0.0,19561000
2000-10-13,20.271596908569336,45.25,0.0,46.71875,44.78125,46.59375,0.0,17011200
2000-10-16,19.669605255126953,43.90625,0.0,45.25,43.71875,45.25,0.0,13969400
2000-10-17,19.669605255126953,43.90625,0.0,44.875,43.65625,44.4375,0.0,12933000
2000-10-18,19.389610290527344,43.28125,0.0,44.84375,43.21875,44.5,0.0,12507200
2000-10-19,19.375612258911133,43.25,0.0,44.09375,42.90625,43.1875,0.0,12546200
2000-10-20,19.809608459472656,44.21875,0.0,44.21875,43.15625,43.15625,0.0,10662800
2000-10-23,19.949600219726562,44.53125,0.0,44.59375,43.5625,44.1875,0.0,11157400
2000-10-24,19.431612014770508,43.375,0.0,45.125,43.25,45.0,0.0,12749800
2000-10-25,19.529603958129883,43.59375,0.0,44.25,43.5,44.25,0.0,10830400
