[(-39420, -7885), (12885, 38080), (26540, -30195)]
[(-39420, 7885), (12885, -38080), (26540, 30195)]
[(-38308, -8019), (12213, 37184), (26100, -29165)]
[(-38308, 8019), (12213, -37184), (26100, 29165)]
[(-27474, 26039), (-26039, 27474), (53518, -53513)]
[(-27474, 26039), (-26039, 27474), (53518, -53513)]
[(-13797, 5896), (1797, -14896), (12005, 9000)]
[(-13108, 1581), (5188, -12141), (7925, 10560)]
[(-10204, 15457), (-8279, -16568), (18488, 1111)]
[(-7847, 3016), (1316, -8303), (6536, 5287)]
[(-7327, -846), (2934, 6767), (4398, -5921)]
[(-6723, 3364), (453, -7504), (6275, 4140)]
[(-6738, 4291), (-342, -7981), (7085, 3690)]
[(-6702, 4589), (-618, -8099), (7325, 3510)]
[(-6331, 5808), (-1859, -8388), (8195, 2580)]
[(-6225, 1780), (1575, -6280), (4655, 4500)]
[(-6075, 1520), (1725, -6020), (4355, 4500)]
[(-5854, 1197), (1894, -5667), (3965, 4470)]
[(-5039, -4472), (-1348, 6601), (6392, -2129)]
[(-4953, 296), (2223, -4436), (2735, 4140)]
[(-4953, 7504), (-4017, -8044), (8975, 540)]
[(-4630, 7725), (-4370, -7875), (9005, 150)]
[(-4630, 7725), (-4370, -7875), (9005, 150)]
[(-4158, -181), (1925, 3690), (2238, -3509)]
[(-4953, 7504), (-4017, -8044), (8975, 540)]
[(-2939, -552), (995, 2820), (1949, -2268)]
[(-5854, 6603), (-2786, -8373), (8645, 1770)]
[(-2641, 588), (815, -2580), (1831, 1992)]
[(-2543, -4056), (-2236, 4233), (4784, -177)]
[(-2543, 4056), (-2236, -4233), (4784, 177)]
[(-2404, 143), (1081, -2152), (1328, 2009)]
[(-2316, -473), (752, 2241), (1569, -1768)]
[(-2250, -605), (605, 2250), (1650, -1645)]
[(-6150, 6155), (-2250, -8405), (8405, 2250)]
[(-2543, 4056), (-2236, -4233), (4784, 177)]
[(-6331, 5808), (-1859, -8388), (8195, 2580)]
[(-1810, -1045), (5, 2090), (1810, -1045)]
[(-1714, -573), (365, 1770), (1354, -1197)]
[(-1714, 573), (365, -1770), (1354, 1197)]
[(-1678, -1111), (-118, 2009), (1801, -898)]
[(-1678, 1111), (-118, -2009), (1801, 898)]
[(-5039, 4472), (-1348, -6601), (6392, 2129)]
[(-3790, 3565), (-1187, -5066), (4982, 1501)]
[(-1062, -1199), (-502, 1521), (1569, -322)]
